Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"EK","Tendances dans l’élevage","012","Algérie","7211","Part du total des animaux","02151","Poulets","2016","2016","% du total des UGB","20.74","E","Valeur estimée"
"EK","Tendances dans l’élevage","012","Algérie","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","21.35","E","Valeur estimée"
"EK","Tendances dans l’élevage","012","Algérie","7211","Part du total des animaux","02151","Poulets","2018","2018","% du total des UGB","21.25","E","Valeur estimée"
"EK","Tendances dans l’élevage","012","Algérie","7211","Part du total des animaux","02151","Poulets","2019","2019","% du total des UGB","21.2","E","Valeur estimée"
"EK","Tendances dans l’élevage","012","Algérie","7211","Part du total des animaux","02151","Poulets","2020","2020","% du total des UGB","20.89","E","Valeur estimée"
"EK","Tendances dans l’élevage","276","Allemagne","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2016","2016","UGB/ha","0.1","E","Valeur estimée"
"EK","Tendances dans l’élevage","276","Allemagne","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.1","E","Valeur estimée"
"EK","Tendances dans l’élevage","276","Allemagne","7211","Part du total des animaux","02151","Poulets","2016","2016","% du total des UGB","7.89","E","Valeur estimée"
"EK","Tendances dans l’élevage","276","Allemagne","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","7.99","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2016","2016","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2018","2018","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2019","2019","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2020","2020","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7211","Part du total des animaux","02151","Poulets","2016","2016","% du total des UGB","8.89","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","8.96","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7211","Part du total des animaux","02151","Poulets","2018","2018","% du total des UGB","9.06","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7211","Part du total des animaux","02151","Poulets","2019","2019","% du total des UGB","10.39","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7211","Part du total des animaux","02151","Poulets","2020","2020","% du total des UGB","10.82","E","Valeur estimée"
"EK","Tendances dans l’élevage","028","Antigua-et-Barbuda","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2016","2016","UGB/ha","0.17","E","Valeur estimée"
"EK","Tendances dans l’élevage","028","Antigua-et-Barbuda","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.18","E","Valeur estimée"
"EK","Tendances dans l’élevage","028","Antigua-et-Barbuda","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2018","2018","UGB/ha","0.18","E","Valeur estimée"
"EK","Tendances dans l’élevage","028","Antigua-et-Barbuda","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2019","2019","UGB/ha","0.18","E","Valeur estimée"
"EK","Tendances dans l’élevage","028","Antigua-et-Barbuda","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2020","2020","UGB/ha","0.18","E","Valeur estimée"
"EK","Tendances dans l’élevage","028","Antigua-et-Barbuda","7211","Part du total des animaux","02151","Poulets","2016","2016","% du total des UGB","14.42","E","Valeur estimée"
"EK","Tendances dans l’élevage","028","Antigua-et-Barbuda","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","14.63","E","Valeur estimée"
"EK","Tendances dans l’élevage","028","Antigua-et-Barbuda","7211","Part du total des animaux","02151","Poulets","2018","2018","% du total des UGB","14.8","E","Valeur estimée"
"EK","Tendances dans l’élevage","028","Antigua-et-Barbuda","7211","Part du total des animaux","02151","Poulets","2019","2019","% du total des UGB","15.93","E","Valeur estimée"
"EK","Tendances dans l’élevage","028","Antigua-et-Barbuda","7211","Part du total des animaux","02151","Poulets","2020","2020","% du total des UGB","16.38","E","Valeur estimée"
"EK","Tendances dans l’élevage","682","Arabie saoudite","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2016","2016","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","682","Arabie saoudite","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","682","Arabie saoudite","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2018","2018","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","682","Arabie saoudite","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2019","2019","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","682","Arabie saoudite","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2020","2020","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","682","Arabie saoudite","7211","Part du total des animaux","02151","Poulets","2016","2016","% du total des UGB","48.81","E","Valeur estimée"
"EK","Tendances dans l’élevage","682","Arabie saoudite","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","49.63","E","Valeur estimée"
"EK","Tendances dans l’élevage","682","Arabie saoudite","7211","Part du total des animaux","02151","Poulets","2018","2018","% du total des UGB","48.66","E","Valeur estimée"
"EK","Tendances dans l’élevage","682","Arabie saoudite","7211","Part du total des animaux","02151","Poulets","2019","2019","% du total des UGB","48.15","E","Valeur estimée"
"EK","Tendances dans l’élevage","682","Arabie saoudite","7211","Part du total des animaux","02151","Poulets","2020","2020","% du total des UGB","44.91","E","Valeur estimée"
"EK","Tendances dans l’élevage","032","Argentine","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2016","2016","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","032","Argentine","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","032","Argentine","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2018","2018","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","032","Argentine","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2019","2019","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","032","Argentine","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2020","2020","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","032","Argentine","7211","Part du total des animaux","02151","Poulets","2016","2016","% du total des UGB","2.59","E","Valeur estimée"
"EK","Tendances dans l’élevage","032","Argentine","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","2.66","E","Valeur estimée"
"EK","Tendances dans l’élevage","032","Argentine","7211","Part du total des animaux","02151","Poulets","2018","2018","% du total des UGB","2.56","E","Valeur estimée"
"EK","Tendances dans l’élevage","032","Argentine","7211","Part du total des animaux","02151","Poulets","2019","2019","% du total des UGB","2.65","E","Valeur estimée"
"EK","Tendances dans l’élevage","032","Argentine","7211","Part du total des animaux","02151","Poulets","2020","2020","% du total des UGB","2.67","E","Valeur estimée"
"EK","Tendances dans l’élevage","051","Arménie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2016","2016","UGB/ha","0.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","051","Arménie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.02","E","Valeur estimée"
